order_id;customer_id;product_id;order_date;country;signup_date;category;product_name;quantity;unit_price;revenue;year_month
ORD001418;CUST0153;PROD041;2025-01-11;spain;2024-08-08;grocery;almond butter;1,0;9,99;9,99;2025-01
ORD002067;CUST0443;PROD050;2025-01-11;spain;2023-11-14;baby;silicone bib set;2,0;14,99;29,98;2025-01
ORD000244;CUST0354;PROD016;2025-01-11;france;2025-12-03;home;ceramic coffee mug;1,0;11,99;11,99;2025-01
ORD001096;CUST0073;PROD006;2025-01-12;germany;2023-04-30;electronics;mechanical keyboard;1,0;89,99;89,99;2025-01
ORD001237;CUST0493;PROD009;2025-01-12;france;2024-01-27;fitness;yoga mat;1,0;29,99;29,99;2025-01
ORD000755;CUST0364;PROD036;2025-01-12;united kingdom;2025-05-01;grocery;organic green tea;1,0;7,99;7,99;2025-01
ORD000972;CUST0448;PROD003;2025-01-12;united kingdom;2023-12-06;electronics;usb-c cable 1m;5,0;9,99;49,95;2025-01
ORD000937;CUST0256;PROD019;2025-01-12;portugal;2023-09-26;home;desk organizer;1,0;17,99;17,99;2025-01
ORD000199;CUST0438;PROD029;2025-01-13;united kingdom;2024-11-03;beauty;vitamin c serum;2,0;18,99;37,98;2025-01
ORD002258;CUST0113;PROD046;2025-01-13;france;2025-07-31;accessories;baseball cap;3,0;15,99;47,97;2025-01
ORD000783;CUST0249;PROD033;2025-01-13;italy;2024-08-13;beauty;makeup brush set;2,0;19,99;39,98;2025-01
ORD001863;CUST0041;PROD022;2025-01-14;spain;2025-09-27;home;glass food containers;2,0;27,99;55,98;2025-01
ORD000107;CUST0119;PROD054;2025-01-14;spain;2024-06-27;baby;baby bath towel;1,0;18,99;18,99;2025-01
ORD001759;CUST0022;PROD021;2025-01-14;spain;2023-04-25;home;kitchen scale;2,0;21,99;43,98;2025-01
ORD001493;CUST0017;PROD033;2025-01-14;spain;2025-01-17;beauty;makeup brush set;3,0;19,99;59,97;2025-01
ORD000859;CUST0273;PROD029;2025-01-14;ireland;2024-01-22;beauty;vitamin c serum;1,0;18,99;18,99;2025-01
ORD002276;CUST0230;PROD013;2025-01-14;france;2023-01-06;fitness;running belt;2,0;16,99;33,98;2025-01
ORD000426;CUST0409;PROD019;2025-01-14;united kingdom;2024-12-20;home;desk organizer;2,0;17,99;35,98;2025-01
ORD001953;CUST0388;PROD046;2025-01-14;spain;2024-07-13;accessories;baseball cap;1,0;15,99;15,99;2025-01
ORD000857;CUST0329;PROD044;2025-01-14;belgium;2023-04-03;accessories;travel pouch;4,0;17,99;71,96;2025-01
ORD001192;CUST0096;PROD018;2025-01-15;spain;2023-04-15;home;scented candle;1,0;15,99;15,99;2025-01
ORD001133;CUST0479;PROD010;2025-01-15;germany;2025-12-13;fitness;resistance bands set;1,0;19,99;19,99;2025-01
ORD000837;CUST0284;PROD027;2025-01-15;netherlands;2023-06-14;stationery;desk calendar;1,0;10,99;10,99;2025-01
ORD001677;CUST0190;PROD027;2025-01-15;italy;2025-07-30;stationery;desk calendar;1,0;10,99;10,99;2025-01
ORD001173;CUST0256;PROD003;2025-01-16;portugal;2023-09-26;electronics;usb-c cable 1m;6,0;9,99;59,94;2025-01
ORD000627;CUST0376;PROD050;2025-01-16;united kingdom;2024-04-08;baby;silicone bib set;1,0;14,99;14,99;2025-01
ORD000161;CUST0040;PROD009;2025-01-16;portugal;2025-12-22;fitness;yoga mat;2,0;29,99;59,98;2025-01
ORD002365;CUST0100;PROD042;2025-01-16;spain;2023-01-20;accessories;canvas backpack;5,0;39,99;199,95000000000002;2025-01
ORD000591;CUST0077;PROD042;2025-01-16;spain;2024-01-16;accessories;canvas backpack;2,0;39,99;79,98;2025-01
ORD000609;CUST0042;PROD001;2025-01-16;spain;2024-09-21;electronics;wireless mouse;1,0;24,99;24,99;2025-01
ORD000928;CUST0056;PROD053;2025-01-17;spain;2025-08-26;baby;stacking cups toy;1,0;13,99;13,99;2025-01
ORD000484;CUST0157;PROD022;2025-01-17;spain;2023-05-08;home;glass food containers;1,0;27,99;27,99;2025-01
ORD000097;CUST0370;PROD018;2025-01-17;italy;2024-11-06;home;scented candle;1,0;15,99;15,99;2025-01
ORD000748;CUST0318;PROD025;2025-01-17;united kingdom;2024-11-24;stationery;sticky notes pack;1,0;4,99;4,99;2025-01
ORD001827;CUST0154;PROD052;2025-01-19;spain;2023-06-15;baby;baby board book;3,0;8,99;26,97;2025-01
ORD000935;CUST0230;PROD025;2025-01-19;france;2023-01-06;stationery;sticky notes pack;1,0;4,99;4,99;2025-01
ORD002095;CUST0090;PROD029;2025-01-19;spain;2025-12-19;beauty;vitamin c serum;1,0;18,99;18,99;2025-01
ORD000203;CUST0222;PROD053;2025-01-19;spain;2024-09-14;baby;stacking cups toy;2,0;13,99;27,98;2025-01
ORD001006;CUST0106;PROD042;2025-01-19;ireland;2025-04-12;accessories;canvas backpack;1,0;39,99;39,99;2025-01
ORD001001;CUST0294;PROD031;2025-01-19;spain;2024-01-04;beauty;spf 50 sunscreen;1,0;21,99;21,99;2025-01
ORD001744;CUST0170;PROD028;2025-01-20;spain;2025-02-15;stationery;highlighter set;1,0;7,99;7,99;2025-01
ORD002109;CUST0395;PROD048;2025-01-20;spain;2023-12-26;accessories;tote bag;2,0;12,99;25,98;2025-01
ORD001230;CUST0451;PROD008;2025-01-20;spain;2025-07-08;electronics;webcam hd;1,0;49,99;49,99;2025-01
ORD001443;CUST0453;PROD051;2025-01-20;germany;2025-06-21;baby;wooden teether;2,0;10,99;21,98;2025-01
ORD000214;CUST0104;PROD052;2025-01-20;portugal;2023-03-23;baby;baby board book;1,0;8,99;8,99;2025-01
ORD001687;CUST0330;PROD049;2025-01-21;spain;2025-10-05;baby;baby blanket;1,0;22,99;22,99;2025-01
ORD000930;CUST0162;PROD001;2025-01-21;germany;2024-03-27;electronics;wireless mouse;1,0;24,99;24,99;2025-01
ORD000520;CUST0408;PROD008;2025-01-21;spain;2025-11-10;electronics;webcam hd;2,0;49,99;99,98;2025-01
ORD000160;CUST0157;PROD047;2025-01-21;spain;2023-05-08;accessories;phone case;2,0;13,99;27,98;2025-01
ORD000782;CUST0434;PROD046;2025-01-21;france;2023-11-04;accessories;baseball cap;1,0;15,99;15,99;2025-01
ORD000811;CUST0482;PROD008;2025-01-21;spain;2025-02-03;electronics;webcam hd;1,0;49,99;49,99;2025-01
ORD000442;CUST0079;PROD045;2025-01-21;germany;2024-05-19;accessories;sunglasses;1,0;24,99;24,99;2025-01
ORD002282;CUST0359;PROD020;2025-01-21;france;2024-10-27;home;reusable shopping bags;2,0;13,99;27,98;2025-01
ORD002361;CUST0352;PROD047;2025-01-21;italy;2025-11-17;accessories;phone case;1,0;13,99;13,99;2025-01
ORD001055;CUST0419;PROD013;2025-01-21;spain;2025-07-14;fitness;running belt;1,0;16,99;16,99;2025-01
ORD000285;CUST0046;PROD008;2025-01-22;spain;2023-12-05;electronics;webcam hd;3,0;49,99;149,97;2025-01
ORD002358;CUST0489;PROD017;2025-01-22;spain;2025-07-26;home;cotton bedsheet set;2,0;44,99;89,98;2025-01
ORD000075;CUST0215;PROD040;2025-01-22;italy;2024-08-21;grocery;olive oil 500ml;2,0;12,99;25,98;2025-01
ORD001778;CUST0291;PROD004;2025-01-22;spain;2023-03-01;electronics;laptop stand;1,0;34,99;34,99;2025-01
ORD000882;CUST0071;PROD025;2025-01-22;france;2024-08-07;stationery;sticky notes pack;2,0;4,99;9,98;2025-01
ORD002222;CUST0334;PROD049;2025-01-22;portugal;2025-04-15;baby;baby blanket;4,0;22,99;91,96;2025-01
ORD001620;CUST0034;PROD027;2025-01-22;united kingdom;2024-06-30;stationery;desk calendar;1,0;10,99;10,99;2025-01
ORD000040;CUST0057;PROD013;2025-01-23;spain;2025-04-13;fitness;running belt;1,0;16,99;16,99;2025-01
ORD001917;CUST0142;PROD035;2025-01-23;portugal;2023-01-12;beauty;shampoo bar;1,0;9,99;9,99;2025-01
ORD001919;CUST0179;PROD023;2025-01-23;united kingdom;2023-08-23;stationery;daily planner notebook;2,0;12,99;25,98;2025-01
ORD001051;CUST0165;PROD014;2025-01-24;ireland;2023-09-19;fitness;jump rope;1,0;12,99;12,99;2025-01
ORD000377;CUST0405;PROD001;2025-01-24;france;2023-06-11;electronics;wireless mouse;2,0;24,99;49,98;2025-01
ORD001338;CUST0064;PROD053;2025-01-24;united kingdom;2025-06-26;baby;stacking cups toy;2,0;13,99;27,98;2025-01
ORD001243;CUST0082;PROD015;2025-01-24;spain;2024-10-05;fitness;gym towel;1,0;8,99;8,99;2025-01
ORD001135;CUST0097;PROD027;2025-01-24;spain;2024-07-20;stationery;desk calendar;2,0;10,99;21,98;2025-01
ORD001664;CUST0346;PROD006;2025-01-24;germany;2023-09-24;electronics;mechanical keyboard;1,0;89,99;89,99;2025-01
ORD001648;CUST0389;PROD043;2025-01-24;france;2024-12-07;accessories;leather wallet;1,0;29,99;29,99;2025-01
ORD001275;CUST0179;PROD002;2025-01-25;united kingdom;2023-08-23;electronics;bluetooth headphones;4,0;59,99;239,96;2025-01
ORD000665;CUST0142;PROD032;2025-01-25;portugal;2023-01-12;beauty;lip balm trio;6,0;8,99;53,94;2025-01
ORD000535;CUST0160;PROD041;2025-01-25;united kingdom;2024-09-03;grocery;almond butter;3,0;9,99;29,97;2025-01
ORD001330;CUST0166;PROD017;2025-01-25;italy;2025-03-17;home;cotton bedsheet set;2,0;44,99;89,98;2025-01
ORD000434;CUST0201;PROD005;2025-01-25;germany;2025-09-27;electronics;portable charger;1,0;39,99;39,99;2025-01
ORD000809;CUST0277;PROD038;2025-01-26;germany;2023-11-08;grocery;premium coffee beans;1,0;15,99;15,99;2025-01
ORD001887;CUST0185;PROD026;2025-01-26;united kingdom;2023-09-05;stationery;a5 sketchbook;1,0;9,99;9,99;2025-01
ORD001126;CUST0186;PROD051;2025-01-26;france;2023-03-26;baby;wooden teether;1,0;10,99;10,99;2025-01
ORD002013;CUST0048;PROD048;2025-01-26;italy;2024-02-16;accessories;tote bag;3,0;12,99;38,97;2025-01
ORD001657;CUST0352;PROD015;2025-01-26;italy;2025-11-17;fitness;gym towel;1,0;8,99;8,99;2025-01
ORD000853;CUST0327;PROD026;2025-01-27;italy;2023-05-10;stationery;a5 sketchbook;1,0;9,99;9,99;2025-01
ORD002229;CUST0081;PROD037;2025-01-27;france;2025-12-06;grocery;dark chocolate 70%;1,0;3,99;3,99;2025-01
ORD000676;CUST0061;PROD015;2025-01-27;spain;2023-08-12;fitness;gym towel;1,0;8,99;8,99;2025-01
ORD001043;CUST0176;PROD028;2025-01-27;spain;2024-05-03;stationery;highlighter set;5,0;7,99;39,95;2025-01
ORD000245;CUST0407;PROD020;2025-01-27;germany;2023-06-06;home;reusable shopping bags;1,0;13,99;13,99;2025-01
ORD002106;CUST0101;PROD001;2025-01-27;germany;2023-11-02;electronics;wireless mouse;2,0;24,99;49,98;2025-01
ORD001225;CUST0202;PROD009;2025-01-28;italy;2025-09-02;fitness;yoga mat;1,0;29,99;29,99;2025-01
ORD000181;CUST0291;PROD011;2025-01-28;spain;2023-03-01;fitness;foam roller;1,0;22,99;22,99;2025-01
ORD001511;CUST0128;PROD012;2025-01-28;germany;2024-08-28;fitness;stainless water bottle;2,0;18,99;37,98;2025-01
ORD002214;CUST0427;PROD036;2025-01-28;spain;2023-12-20;grocery;organic green tea;1,0;7,99;7,99;2025-01
ORD001813;CUST0434;PROD031;2025-01-28;france;2023-11-04;beauty;spf 50 sunscreen;1,0;21,99;21,99;2025-01
ORD001075;CUST0391;PROD054;2025-02-01;france;2024-03-27;baby;baby bath towel;2,0;18,99;37,98;2025-02
ORD002240;CUST0464;PROD042;2025-02-01;france;2024-04-27;accessories;canvas backpack;1,0;39,99;39,99;2025-02
ORD000985;CUST0276;PROD030;2025-02-01;france;2025-02-19;beauty;hydrating face cream;1,0;24,99;24,99;2025-02
ORD000539;CUST0045;PROD028;2025-02-02;spain;2023-09-15;stationery;highlighter set;1,0;7,99;7,99;2025-02
ORD001641;CUST0070;PROD025;2025-02-02;portugal;2024-06-27;stationery;sticky notes pack;1,0;4,99;4,99;2025-02
ORD000866;CUST0287;PROD004;2025-02-02;spain;2023-05-21;electronics;laptop stand;1,0;34,99;34,99;2025-02
ORD001693;CUST0072;PROD010;2025-02-03;spain;2025-09-23;fitness;resistance bands set;1,0;19,99;19,99;2025-02
ORD000112;CUST0096;PROD028;2025-02-03;spain;2023-04-15;stationery;highlighter set;1,0;7,99;7,99;2025-02
ORD002283;CUST0052;PROD030;2025-02-03;spain;2024-03-27;beauty;hydrating face cream;2,0;24,99;49,98;2025-02
ORD001469;CUST0244;PROD013;2025-02-03;germany;2023-12-25;fitness;running belt;1,0;16,99;16,99;2025-02
ORD001663;CUST0253;PROD023;2025-02-03;france;2025-08-04;stationery;daily planner notebook;4,0;12,99;51,96;2025-02
ORD000964;CUST0194;PROD008;2025-02-03;spain;2023-06-27;electronics;webcam hd;1,0;49,99;49,99;2025-02
ORD001383;CUST0094;PROD047;2025-02-03;spain;2024-12-03;accessories;phone case;1,0;13,99;13,99;2025-02
ORD002103;CUST0178;PROD054;2025-02-03;spain;2025-01-25;baby;baby bath towel;3,0;18,99;56,97;2025-02
ORD000166;CUST0072;PROD049;2025-02-04;spain;2025-09-23;baby;baby blanket;1,0;22,99;22,99;2025-02
ORD001007;CUST0260;PROD020;2025-02-04;germany;2023-08-21;home;reusable shopping bags;1,0;13,99;13,99;2025-02
ORD001197;CUST0142;PROD015;2025-02-04;portugal;2023-01-12;fitness;gym towel;3,0;8,99;26,97;2025-02
ORD002107;CUST0075;PROD026;2025-02-04;portugal;2025-10-26;stationery;a5 sketchbook;1,0;9,99;9,99;2025-02
ORD001224;CUST0315;PROD020;2025-02-05;germany;2025-01-19;home;reusable shopping bags;2,0;13,99;27,98;2025-02
ORD001913;CUST0119;PROD027;2025-02-05;spain;2024-06-27;stationery;desk calendar;3,0;10,99;32,97;2025-02
ORD001978;CUST0219;PROD050;2025-02-05;spain;2025-09-05;baby;silicone bib set;3,0;14,99;44,97;2025-02
ORD000241;CUST0076;PROD037;2025-02-05;belgium;2023-04-27;grocery;dark chocolate 70%;2,0;3,99;7,98;2025-02
ORD001866;CUST0448;PROD008;2025-02-05;united kingdom;2023-12-06;electronics;webcam hd;3,0;49,99;149,97;2025-02
ORD001747;CUST0068;PROD048;2025-02-05;netherlands;2024-03-13;accessories;tote bag;5,0;12,99;64,95;2025-02
ORD000446;CUST0231;PROD019;2025-02-05;france;2025-08-20;home;desk organizer;3,0;17,99;53,97;2025-02
ORD000337;CUST0407;PROD017;2025-02-06;germany;2023-06-06;home;cotton bedsheet set;2,0;44,99;89,98;2025-02
ORD001346;CUST0107;PROD032;2025-02-06;netherlands;2024-04-29;beauty;lip balm trio;2,0;8,99;17,98;2025-02
ORD001888;CUST0095;PROD042;2025-02-06;germany;2024-06-24;accessories;canvas backpack;4,0;39,99;159,96;2025-02
ORD001742;CUST0238;PROD018;2025-02-06;italy;2024-09-14;home;scented candle;2,0;15,99;31,98;2025-02
ORD001506;CUST0260;PROD038;2025-02-06;germany;2023-08-21;grocery;premium coffee beans;2,0;15,99;31,98;2025-02
ORD002211;CUST0079;PROD046;2025-02-07;germany;2024-05-19;accessories;baseball cap;6,0;15,99;95,94;2025-02
ORD002303;CUST0195;PROD021;2025-02-07;germany;2025-08-09;home;kitchen scale;1,0;21,99;21,99;2025-02
ORD001362;CUST0144;PROD012;2025-02-07;germany;2025-11-26;fitness;stainless water bottle;1,0;18,99;18,99;2025-02
ORD001604;CUST0254;PROD014;2025-02-07;italy;2025-01-10;fitness;jump rope;2,0;12,99;25,98;2025-02
ORD000231;CUST0088;PROD041;2025-02-07;france;2023-11-20;grocery;almond butter;1,0;9,99;9,99;2025-02
ORD000942;CUST0027;PROD041;2025-02-07;france;2025-03-28;grocery;almond butter;6,0;9,99;59,94;2025-02
ORD001188;CUST0417;PROD038;2025-02-07;united kingdom;2024-09-12;grocery;premium coffee beans;2,0;15,99;31,98;2025-02
ORD000691;CUST0174;PROD013;2025-02-07;united kingdom;2023-03-24;fitness;running belt;2,0;16,99;33,98;2025-02
ORD002015;CUST0102;PROD013;2025-02-07;france;2023-10-31;fitness;running belt;1,0;16,99;16,99;2025-02
ORD001614;CUST0020;PROD054;2025-02-08;spain;2024-05-16;baby;baby bath towel;1,0;18,99;18,99;2025-02
ORD001428;CUST0010;PROD046;2025-02-08;netherlands;2025-01-05;accessories;baseball cap;1,0;15,99;15,99;2025-02
ORD001619;CUST0309;PROD034;2025-02-08;italy;2024-05-28;beauty;body lotion;1,0;14,99;14,99;2025-02
ORD000126;CUST0337;PROD043;2025-02-08;germany;2025-01-22;accessories;leather wallet;1,0;29,99;29,99;2025-02
ORD001401;CUST0440;PROD014;2025-02-08;france;2025-11-07;fitness;jump rope;1,0;12,99;12,99;2025-02
ORD000455;CUST0273;PROD025;2025-02-08;ireland;2024-01-22;stationery;sticky notes pack;1,0;4,99;4,99;2025-02
ORD001226;CUST0425;PROD042;2025-02-09;belgium;2023-11-05;accessories;canvas backpack;1,0;39,99;39,99;2025-02
ORD000694;CUST0251;PROD032;2025-02-09;spain;2024-10-24;beauty;lip balm trio;1,0;8,99;8,99;2025-02
ORD001012;CUST0134;PROD025;2025-02-09;italy;2023-12-14;stationery;sticky notes pack;2,0;4,99;9,98;2025-02
ORD000640;CUST0058;PROD045;2025-02-09;france;2025-06-01;accessories;sunglasses;1,0;24,99;24,99;2025-02
ORD000556;CUST0444;PROD002;2025-02-10;germany;2023-07-27;electronics;bluetooth headphones;1,0;59,99;59,99;2025-02
ORD001973;CUST0116;PROD015;2025-02-10;france;2024-07-25;fitness;gym towel;1,0;8,99;8,99;2025-02
ORD000982;CUST0380;PROD038;2025-02-11;netherlands;2024-01-07;grocery;premium coffee beans;4,0;15,99;63,96;2025-02
ORD001159;CUST0178;PROD031;2025-02-11;spain;2025-01-25;beauty;spf 50 sunscreen;6,0;21,99;131,94;2025-02
ORD001711;CUST0111;PROD042;2025-02-12;france;2023-08-10;accessories;canvas backpack;1,0;39,99;39,99;2025-02
ORD001019;CUST0359;PROD037;2025-02-12;france;2024-10-27;grocery;dark chocolate 70%;3,0;3,99;11,97;2025-02
ORD001305;CUST0487;PROD029;2025-02-12;ireland;2025-08-09;beauty;vitamin c serum;4,0;18,99;75,96;2025-02
ORD001035;CUST0456;PROD047;2025-02-12;netherlands;2023-10-11;accessories;phone case;1,0;13,99;13,99;2025-02
ORD000634;CUST0239;PROD040;2025-02-12;germany;2025-10-21;grocery;olive oil 500ml;1,0;12,99;12,99;2025-02
ORD002299;CUST0368;PROD029;2025-02-13;united kingdom;2023-07-17;beauty;vitamin c serum;1,0;18,99;18,99;2025-02
ORD002334;CUST0201;PROD011;2025-02-13;germany;2025-09-27;fitness;foam roller;1,0;22,99;22,99;2025-02
ORD001682;CUST0399;PROD013;2025-02-13;netherlands;2023-06-09;fitness;running belt;2,0;16,99;33,98;2025-02
ORD001885;CUST0386;PROD003;2025-02-13;italy;2023-04-12;electronics;usb-c cable 1m;1,0;9,99;9,99;2025-02
ORD001756;CUST0284;PROD041;2025-02-13;netherlands;2023-06-14;grocery;almond butter;2,0;9,99;19,98;2025-02
ORD001289;CUST0449;PROD019;2025-02-14;italy;2025-01-16;home;desk organizer;1,0;17,99;17,99;2025-02
ORD002152;CUST0029;PROD054;2025-02-14;netherlands;2023-04-07;baby;baby bath towel;1,0;18,99;18,99;2025-02
ORD000294;CUST0226;PROD003;2025-02-14;france;2025-05-28;electronics;usb-c cable 1m;1,0;9,99;9,99;2025-02
ORD001381;CUST0023;PROD018;2025-02-15;france;2024-10-08;home;scented candle;2,0;15,99;31,98;2025-02
ORD001038;CUST0337;PROD054;2025-02-15;germany;2025-01-22;baby;baby bath towel;1,0;18,99;18,99;2025-02
ORD000463;CUST0183;PROD010;2025-02-15;italy;2023-06-05;fitness;resistance bands set;1,0;19,99;19,99;2025-02
ORD000596;CUST0390;PROD050;2025-02-15;germany;2025-09-23;baby;silicone bib set;1,0;14,99;14,99;2025-02
ORD001975;CUST0141;PROD022;2025-02-15;spain;2025-03-29;home;glass food containers;1,0;27,99;27,99;2025-02
ORD001734;CUST0487;PROD008;2025-02-15;ireland;2025-08-09;electronics;webcam hd;1,0;49,99;49,99;2025-02
ORD000170;CUST0327;PROD039;2025-02-16;italy;2023-05-10;grocery;protein granola;1,0;6,99;6,99;2025-02
